Followers,Ad_Spend,Estimated_Revenue,Engagement_Rate,Platform,Content_Type,Profitable
640282,7521.03,14672.08,0.173,Facebook,Post,Yes
998159,2536.38,1519.19,0.091,Facebook,Story,No
206041,9316.89,11156.17,0.079,Twitter,Reel,No
350307,6823.67,14329.68,0.065,Facebook,Reel,No
812774,2276.63,5430.92,0.037,Instagram,Reel,No
111130,7183.02,3695.78,0.07,TikTok,Image,No
594128,9303.53,13135.17,0.162,YouTube,Video,Yes
351036,5742.05,11340.47,0.021,Instagram,Story,No
13115,2666.23,2325.54,0.057,YouTube,Video,No
514153,2281.24,2312.23,0.016,TikTok,Video,No
161775,255.39,298.8,0.19,Facebook,Video,No
665635,3886.77,11143.74,0.071,YouTube,Post,Yes
748567,6169.09,4762.05,0.106,YouTube,Video,No
89835,7654.3,14322.85,0.091,Facebook,Story,Yes
907814,7951.31,4477.28,0.089,Instagram,Reel,No
354330,9887.05,5916.46,0.126,YouTube,Story,No
829282,1310.3,2800.09,0.014,YouTube,Image,No
218060,1818.25,5043.66,0.171,Facebook,Video,Yes
644907,1583.4,1874.87,0.127,TikTok,Reel,No
84291,9219.47,17229.9,0.115,Facebook,Reel,Yes
29202,6912.29,11524.99,0.177,Instagram,Image,Yes
585668,3317.42,3209.99,0.147,Twitter,Story,No
900159,401.12,1138.93,0.152,Instagram,Reel,Yes
279104,4004.01,6803.08,0.132,Instagram,Story,Yes
321146,9818.68,16948.52,0.051,TikTok,Reel,No
312385,1623.12,2724.52,0.044,Twitter,Image,No
417690,1553.13,4597.73,0.144,Twitter,Video,Yes
642147,4000.38,8602.7,0.121,Instagram,Post,Yes
389612,8357.94,16830.07,0.061,YouTube,Reel,No
127209,8470.96,14863.43,0.102,Twitter,Video,Yes
787958,4120.49,9372.9,0.07,YouTube,Story,No
839574,7278.42,21225.05,0.141,Twitter,Reel,Yes
866566,8052.31,23897.01,0.038,Instagram,Video,No
534903,6582.63,11176.79,0.076,TikTok,Story,Yes
464685,7967.82,7020.23,0.175,YouTube,Reel,No
282209,5553.86,10896.39,0.017,Instagram,Image,No
297794,8389.08,7531.74,0.059,YouTube,Video,No
599069,9609.63,5226.38,0.192,Twitter,Post,No
974658,2756.56,7645.82,0.024,TikTok,Reel,No
441880,3440.19,4302.91,0.097,Twitter,Video,Yes
731026,7751.52,18425.95,0.14,TikTok,Image,Yes
236707,6363.4,6308.77,0.081,Instagram,Video,No
908317,7235.18,18847.78,0.165,YouTube,Video,Yes
293822,5358.89,12939.38,0.165,Twitter,Story,Yes
828424,9508.4,10572.85,0.161,Twitter,Post,No
959671,6546.8,14800.92,0.143,Instagram,Post,Yes
51601,1110.54,3046.03,0.095,Twitter,Video,Yes
171205,5305.22,7759.28,0.18,YouTube,Reel,Yes
566158,2902.46,4978.25,0.199,Instagram,Post,Yes
485410,8539.06,22474.92,0.198,Instagram,Reel,Yes
729263,9226.35,12135.55,0.113,Instagram,Image,Yes
279404,254.55,333.75,0.035,YouTube,Reel,No
563997,5265.26,2638.2,0.151,YouTube,Image,No
509153,9647.88,22575.9,0.01,YouTube,Post,No
732478,5775.44,4685.3,0.1,YouTube,Reel,No
799729,7148.33,20674.41,0.039,Twitter,Image,No
798232,6053.46,13870.73,0.057,Twitter,Story,No
147768,1113.93,739.83,0.087,Instagram,Image,No
902626,5603.12,9573.78,0.199,TikTok,Post,Yes
813832,4862.09,2578.28,0.041,YouTube,Reel,No
403662,4211.09,3432.59,0.042,Twitter,Story,No
298632,2795.63,8038.18,0.181,Twitter,Video,Yes
730115,2197.4,5307.56,0.115,Twitter,Story,Yes
362278,2852.68,3127.45,0.016,YouTube,Video,No
274255,8597.47,15127.67,0.013,Twitter,Story,No
94808,8373.64,8835.11,0.077,Facebook,Post,No
573843,8223.86,24281.74,0.027,Facebook,Story,No
471455,2328.41,4862.9,0.164,YouTube,Story,Yes
589315,5504.44,11844.66,0.077,TikTok,Image,Yes
772271,448.33,1294.41,0.121,Twitter,Story,Yes
883174,6613.05,5386.64,0.129,TikTok,Video,No
669689,5382.99,6966.4,0.062,Facebook,Story,No
22172,9732.32,24882.05,0.168,Twitter,Story,Yes
587349,776.64,1764.54,0.192,TikTok,Reel,Yes
176006,6897.21,18049.52,0.187,Instagram,Video,Yes
92911,6078.09,15883.74,0.051,Twitter,Video,No
276128,7878.12,13434.07,0.064,Instagram,Reel,No
712998,7167.62,17338.38,0.134,Twitter,Post,Yes
717741,5806.75,7247.6,0.18,TikTok,Post,Yes
420149,1699.72,3506.07,0.026,TikTok,Reel,No
354299,1220.05,2669.02,0.163,Instagram,Post,Yes
541277,2530.47,6473.88,0.124,TikTok,Post,Yes
13828,2505.72,1639.89,0.044,TikTok,Reel,No
158164,5466.07,8023.24,0.121,YouTube,Image,Yes
653873,9923.26,22624.65,0.081,Facebook,Post,Yes
85291,5541.88,13847.94,0.139,Twitter,Video,Yes
306063,8566.82,25564.89,0.145,Facebook,Post,Yes
935271,3874.53,6548.84,0.056,TikTok,Image,No
70518,7326.12,15275.82,0.165,Twitter,Video,Yes
628769,3963.93,10820.28,0.084,TikTok,Video,Yes
825628,2733.91,7947.94,0.153,Facebook,Video,Yes
561608,2979.55,7014.44,0.095,Twitter,Image,Yes
404359,5254.97,3041.42,0.07,Twitter,Reel,No
578564,676.93,935.42,0.127,Facebook,Post,Yes
499909,1180.97,1856.12,0.143,TikTok,Post,Yes
56318,8833.84,14085.03,0.118,Facebook,Story,Yes
601613,6429.03,4708.91,0.094,Facebook,Post,No
71313,7370.07,15640.17,0.072,YouTube,Reel,Yes
373397,9325.07,15304.48,0.132,Instagram,Image,Yes
836570,1765.29,2873.63,0.193,Facebook,Story,Yes
10885,2505.39,5203.96,0.189,Facebook,Story,Yes
366036,6631.31,18218.52,0.019,Twitter,Reel,No
764185,4479.12,6422.48,0.168,Facebook,Post,Yes
191246,5903.76,3243.47,0.132,Facebook,Image,No
156683,9106.3,14334.61,0.069,YouTube,Story,No
703335,9948.27,18419.65,0.138,YouTube,Post,Yes
721801,2088.68,4562.2,0.126,Facebook,Video,Yes
616458,806.1,1263.95,0.136,Instagram,Image,Yes
725857,8231.16,12216.98,0.169,YouTube,Image,Yes
643416,578.56,1208.44,0.054,Twitter,Video,No
553433,4839.15,6420.81,0.064,Facebook,Video,No
468010,1212.62,1757.53,0.155,Instagram,Reel,Yes
771824,2167.52,3199.28,0.112,Facebook,Image,Yes
98756,7878.95,20200.46,0.016,Facebook,Video,No
104751,4303.98,7370.86,0.116,Instagram,Post,Yes
380747,381.99,702.29,0.053,Twitter,Video,No
826963,4459.56,5616.38,0.046,Facebook,Video,No
959379,6095.69,12002.12,0.096,TikTok,Video,Yes
226469,9237.01,10095.69,0.086,Twitter,Story,No
910921,6451.81,7680.66,0.165,YouTube,Reel,No
902258,8897.22,22534.67,0.112,Instagram,Reel,Yes
880780,1046.38,1597.25,0.035,Instagram,Image,No
294481,8049.37,13089.69,0.127,YouTube,Reel,Yes
873638,153.89,364.41,0.163,TikTok,Reel,Yes
963454,6879.47,8534.17,0.184,TikTok,Video,Yes
281790,2046.21,3052.53,0.167,Facebook,Post,Yes
442048,9900.81,14522.39,0.166,TikTok,Story,Yes
885200,5055.75,9214.38,0.011,TikTok,Video,No
456738,5772.64,4574.24,0.126,YouTube,Post,No
299090,6724.92,19079.63,0.025,Twitter,Reel,No
762985,6037.07,13202.49,0.047,TikTok,Reel,No
700895,1962.65,4044.03,0.047,Instagram,Video,No
647701,1541.12,4437.39,0.188,Facebook,Video,Yes
20033,4258.72,9769.8,0.056,Facebook,Reel,No
602206,4286.41,6367.0,0.134,Twitter,Reel,Yes
722037,689.17,1147.59,0.069,TikTok,Post,No
177968,6727.75,15560.19,0.025,TikTok,Image,No
679525,6171.09,11356.99,0.029,YouTube,Reel,No
801562,2853.98,5876.63,0.015,Instagram,Video,No
126659,5431.24,10580.01,0.048,Twitter,Story,No
780128,4782.51,10199.37,0.13,TikTok,Video,Yes
138244,6475.86,12031.39,0.074,Facebook,Reel,Yes
437571,8448.29,19491.18,0.149,YouTube,Story,Yes
381350,3248.96,8179.07,0.108,Instagram,Image,Yes
589216,3821.24,4070.72,0.027,Twitter,Video,No
47121,4528.19,12978.98,0.032,Facebook,Reel,No
74870,2208.83,3896.43,0.062,YouTube,Reel,No
522393,6989.05,5314.99,0.062,TikTok,Post,No
358226,3818.33,3837.37,0.071,Instagram,Image,No
131560,7983.23,4188.87,0.067,Facebook,Video,No
27081,9836.85,17122.92,0.158,TikTok,Post,Yes
13289,8966.96,11326.77,0.032,TikTok,Video,No
471435,1303.35,1255.47,0.157,Facebook,Story,No
862858,4730.7,7803.97,0.086,Facebook,Video,Yes
607791,4886.87,2588.0,0.107,YouTube,Video,No
372369,4241.62,9573.84,0.199,Twitter,Post,Yes
917383,9577.4,7166.92,0.12,Facebook,Reel,No
283247,448.05,1255.91,0.046,TikTok,Reel,No
890513,8505.53,10239.28,0.122,Instagram,Video,Yes
30402,3096.52,8750.06,0.017,Instagram,Post,No
336949,5124.85,14932.04,0.145,Facebook,Story,Yes
263307,6627.35,13758.95,0.05,Instagram,Reel,No
832187,5916.81,12080.2,0.114,Facebook,Story,Yes
180736,3082.51,7333.02,0.127,Twitter,Story,Yes
693841,4228.83,10950.48,0.131,YouTube,Reel,Yes
978163,6458.86,13151.03,0.094,YouTube,Image,Yes
974069,7301.61,4099.52,0.044,Facebook,Image,No
925044,5769.56,12636.85,0.126,Instagram,Reel,Yes
48111,3375.58,6695.73,0.082,YouTube,Story,Yes
489019,4455.74,11547.49,0.081,Instagram,Post,Yes
810956,9039.98,13867.7,0.11,TikTok,Video,Yes
657761,6615.81,9260.45,0.103,Instagram,Post,Yes
661960,8961.26,22052.85,0.027,Twitter,Story,No
398783,2435.61,3491.36,0.143,YouTube,Reel,Yes
480806,9473.04,19749.82,0.132,Twitter,Video,Yes
937828,8181.71,20968.21,0.109,Instagram,Reel,Yes
718148,9270.17,9758.33,0.144,Facebook,Post,No
403690,5361.64,15002.92,0.033,YouTube,Reel,No
511259,1465.16,1714.36,0.129,Instagram,Reel,No
499685,9085.4,12233.43,0.061,YouTube,Image,No
183051,6312.31,13865.02,0.141,Twitter,Image,Yes
576278,7827.67,17584.47,0.131,TikTok,Video,Yes
661799,8828.58,10667.95,0.072,Instagram,Image,Yes
40062,287.38,646.18,0.127,Facebook,Story,Yes
334245,2998.62,8499.71,0.192,TikTok,Post,Yes
733256,9231.02,9469.5,0.173,Twitter,Video,No
911115,968.57,1300.38,0.146,Instagram,Post,Yes
139311,942.92,2139.34,0.074,Instagram,Video,Yes
287166,6870.05,16572.94,0.177,TikTok,Story,Yes
477384,7299.92,7205.86,0.069,YouTube,Post,No
36903,2686.74,3190.55,0.069,YouTube,Image,No
655618,8896.48,8911.25,0.186,YouTube,Video,No
881438,8922.89,11248.97,0.02,YouTube,Reel,No
328069,6543.25,16278.92,0.181,Instagram,Story,Yes
236595,9646.94,10799.07,0.015,Twitter,Story,No
414497,9862.07,16873.92,0.178,Twitter,Reel,Yes
123258,4398.45,9846.12,0.1,YouTube,Reel,Yes
888700,7454.7,16660.12,0.026,Twitter,Video,No
530321,8742.76,16959.95,0.137,TikTok,Reel,Yes
434797,276.2,638.94,0.033,YouTube,Video,No
433659,4863.76,14274.22,0.176,Twitter,Reel,Yes
129391,6062.34,13902.58,0.095,TikTok,Image,Yes
787639,9045.82,11618.61,0.178,YouTube,Story,Yes
95270,6737.42,6775.84,0.193,Facebook,Post,No
611032,5455.33,5075.32,0.042,Facebook,Story,No
159763,4032.35,7799.9,0.018,TikTok,Story,No
112453,4051.18,8440.15,0.199,Facebook,Video,Yes
76277,6691.91,4190.28,0.197,Facebook,Story,No
721255,9612.21,27877.02,0.051,Twitter,Video,No
390957,5265.16,10782.51,0.075,TikTok,Post,Yes
706191,9016.5,8036.54,0.191,TikTok,Reel,No
735417,2446.11,7038.93,0.077,Twitter,Image,Yes
927425,9519.62,20411.8,0.036,Twitter,Post,No
676510,8613.41,9166.5,0.101,Twitter,Reel,No
768175,8286.55,11305.25,0.109,Instagram,Video,Yes
560603,8744.28,8378.17,0.197,YouTube,Post,No
23337,6073.12,6027.46,0.142,TikTok,Story,No
599493,833.16,1020.61,0.156,Facebook,Image,Yes
337907,948.94,1008.71,0.194,TikTok,Reel,No
395583,1314.02,1461.27,0.059,Twitter,Video,No
513880,8780.74,20877.82,0.111,Facebook,Image,Yes
709770,418.44,420.68,0.039,Facebook,Image,No
67253,3697.14,6723.04,0.095,Instagram,Reel,Yes
298142,4998.1,6162.23,0.098,Facebook,Post,Yes
132379,8950.48,11886.83,0.051,TikTok,Video,No
502590,7886.83,13156.24,0.136,Instagram,Post,Yes
935678,367.15,953.6,0.102,YouTube,Reel,Yes
815811,2269.7,3573.14,0.033,TikTok,Reel,No
622527,4384.74,4726.47,0.019,Facebook,Image,No
759741,318.19,791.9,0.097,Facebook,Reel,Yes
746993,5693.58,5496.16,0.017,Instagram,Image,No
767722,9798.18,22269.34,0.135,Twitter,Image,Yes
228579,1125.68,1488.74,0.068,Instagram,Reel,No
753878,8341.74,15931.59,0.137,Twitter,Post,Yes
312011,1773.47,4210.87,0.036,Twitter,Image,No
456150,1476.69,1062.73,0.106,YouTube,Image,No
990410,1885.52,2032.02,0.183,Facebook,Image,No
126354,2994.67,2915.73,0.054,YouTube,Reel,No
880903,7504.44,4851.58,0.153,Instagram,Story,No
378844,7068.74,4235.33,0.121,Twitter,Video,No
808789,9668.93,18789.31,0.015,Twitter,Image,No
929864,5921.74,16560.8,0.104,Instagram,Video,Yes
892793,2954.13,4065.05,0.143,Instagram,Story,Yes
576425,5420.93,9505.65,0.09,Facebook,Image,Yes
402415,5681.65,15158.14,0.092,Facebook,Image,Yes
50768,9107.06,21705.32,0.051,Twitter,Reel,No
62240,3889.65,5464.74,0.118,TikTok,Video,Yes
746466,6286.93,15880.54,0.115,TikTok,Video,Yes
10337,3664.99,2960.9,0.144,Instagram,Reel,No
265179,1374.55,1222.5,0.017,Instagram,Story,No
223320,4654.63,9531.72,0.025,Facebook,Post,No
430276,8731.48,25072.06,0.042,TikTok,Image,No
337851,266.39,720.26,0.021,TikTok,Post,No
788609,2550.89,4416.04,0.014,Twitter,Post,No
60164,3208.68,1785.94,0.044,Twitter,Video,No
991049,1487.64,1901.43,0.016,Instagram,Post,No
889704,4405.96,12260.98,0.172,Facebook,Image,Yes
481761,4793.36,10268.61,0.088,Instagram,Reel,Yes
21039,4377.82,11579.66,0.162,Facebook,Video,Yes
812795,6940.46,11078.13,0.045,YouTube,Story,No
489067,9031.72,9403.38,0.122,YouTube,Post,No
67668,2501.51,3200.5,0.048,Instagram,Image,No
891695,2943.69,4185.93,0.084,Twitter,Reel,Yes
108449,8978.61,19295.7,0.045,YouTube,Video,No
818166,574.46,535.6,0.069,Facebook,Image,No
436126,6116.01,14637.99,0.164,Twitter,Image,Yes
296599,7943.67,23320.9,0.153,TikTok,Post,Yes
37187,1114.71,3286.27,0.149,Instagram,Story,Yes
739854,386.91,566.1,0.091,YouTube,Image,Yes
1882,5687.59,6104.71,0.09,YouTube,Reel,No
129046,1949.13,5451.5,0.133,Facebook,Reel,Yes
528035,1334.01,3916.32,0.049,YouTube,Post,No
263299,391.82,978.46,0.181,Instagram,Video,Yes
27616,4493.75,3847.13,0.057,Facebook,Video,No
408014,7467.24,20174.16,0.04,Facebook,Post,No
507713,1046.92,2610.31,0.174,Facebook,Reel,Yes
218508,1345.8,3602.59,0.068,Instagram,Post,No
777997,6189.14,9428.74,0.193,YouTube,Post,Yes
768595,1005.73,1423.6,0.098,TikTok,Video,Yes
380862,1154.86,1873.77,0.116,Facebook,Reel,Yes
367008,1158.16,847.61,0.175,Instagram,Reel,No
887854,6934.74,17849.23,0.122,Instagram,Story,Yes
872905,8345.73,11889.77,0.01,Facebook,Image,No
838646,386.55,957.29,0.073,TikTok,Reel,Yes
950597,3763.57,5361.9,0.128,Instagram,Video,Yes
665704,3982.19,11285.39,0.125,Facebook,Reel,Yes
149087,8413.67,19036.5,0.08,Twitter,Post,Yes
375169,8694.67,17069.72,0.051,Facebook,Story,No
380989,1479.26,1440.98,0.116,YouTube,Image,No
921313,8206.66,11630.59,0.146,YouTube,Story,Yes
68642,8226.32,8487.05,0.111,Twitter,Story,No
996635,4167.01,9189.72,0.174,Twitter,Post,Yes
920484,573.6,1517.44,0.182,YouTube,Video,Yes
418170,6374.17,10759.41,0.143,YouTube,Reel,Yes
58939,2578.95,2396.92,0.141,Facebook,Post,No
166837,1641.69,2225.93,0.068,Instagram,Post,No
238612,482.0,693.07,0.169,YouTube,Video,Yes
503175,1769.18,4204.28,0.015,Twitter,Story,No
32852,6132.11,15430.63,0.188,Twitter,Image,Yes
655224,4827.13,7081.19,0.121,Twitter,Story,Yes
231203,6022.06,14281.33,0.015,TikTok,Image,No
27790,2420.26,6345.86,0.141,Instagram,Image,Yes
613492,2126.67,2006.76,0.176,Facebook,Reel,No
890302,3852.16,6690.46,0.051,Twitter,Reel,No
972129,3538.15,3542.89,0.032,TikTok,Image,No
873379,5483.61,6063.17,0.034,YouTube,Story,No
295499,9780.81,17953.77,0.05,TikTok,Image,No
349627,7552.65,10260.87,0.152,TikTok,Story,Yes
70202,4367.95,3070.98,0.186,Instagram,Image,No
267765,6261.52,10135.84,0.032,TikTok,Reel,No
497758,6311.23,17935.14,0.124,Facebook,Story,Yes
519545,4366.32,11915.14,0.121,TikTok,Post,Yes
564359,7037.51,17239.85,0.025,TikTok,Image,No
299076,418.41,1096.22,0.182,YouTube,Post,Yes
986325,5183.63,2927.79,0.167,TikTok,Reel,No
552332,7552.89,20242.93,0.117,Facebook,Post,Yes
762282,4253.44,2742.89,0.018,Twitter,Reel,No
204814,2536.33,6908.8,0.104,Facebook,Image,Yes
20816,5124.34,13896.66,0.037,Facebook,Video,No
836002,5402.53,12164.11,0.044,Facebook,Story,No
875527,7569.84,22104.91,0.048,TikTok,Reel,No
822412,2651.88,1805.38,0.155,Twitter,Post,No
506815,6756.04,18362.98,0.072,Facebook,Video,Yes
482215,1282.07,2276.0,0.113,Facebook,Video,Yes
318650,3633.31,9236.84,0.089,Twitter,Reel,Yes
479928,281.36,389.24,0.071,Twitter,Image,Yes
214893,8533.64,21535.98,0.117,YouTube,Video,Yes
850256,9533.81,25227.68,0.076,Instagram,Story,Yes
754818,3816.41,7283.93,0.193,YouTube,Post,Yes
137645,1367.38,1592.38,0.187,YouTube,Reel,No
505677,8605.81,19082.54,0.022,Twitter,Story,No
196004,106.21,160.3,0.14,YouTube,Story,Yes
511470,2016.08,4992.22,0.083,YouTube,Story,Yes
960059,6260.8,13674.11,0.142,Instagram,Story,Yes
22281,9657.88,5851.53,0.193,YouTube,Reel,No
643804,8137.71,14085.72,0.08,Twitter,Post,Yes
271170,5293.4,15826.91,0.07,Instagram,Reel,No
1901,4371.31,4772.44,0.084,YouTube,Video,No
142880,8373.36,6769.74,0.125,TikTok,Video,No
863557,6793.96,10308.74,0.015,Twitter,Reel,No
62063,7927.96,3964.16,0.118,Twitter,Post,No
230304,5757.24,13610.78,0.116,TikTok,Image,Yes
163421,4263.85,7291.74,0.177,Instagram,Post,Yes
394276,1221.37,977.14,0.088,Facebook,Reel,No
728346,8239.89,7875.12,0.105,TikTok,Image,No
691038,7640.6,4314.49,0.016,Instagram,Story,No
741885,7591.72,10382.54,0.106,Instagram,Image,Yes
921095,7098.04,15220.99,0.103,Instagram,Video,Yes
653416,8044.27,4916.55,0.1,Instagram,Story,No
685393,7107.83,13110.96,0.097,YouTube,Image,Yes
617166,3681.52,6400.8,0.142,YouTube,Image,Yes
21323,4173.7,4602.93,0.013,Twitter,Video,No
408931,7739.48,10338.76,0.134,YouTube,Story,Yes
557922,5493.54,11763.46,0.157,YouTube,Reel,Yes
419034,8597.86,23302.6,0.074,TikTok,Story,Yes
311375,8732.65,21773.22,0.046,YouTube,Image,No
789443,2669.57,7909.23,0.07,Twitter,Video,No
991997,7506.64,7835.13,0.047,TikTok,Post,No
706552,2610.79,4751.28,0.129,Twitter,Video,Yes
228189,3495.85,8644.79,0.163,Facebook,Post,Yes
223084,883.95,2289.85,0.07,Instagram,Reel,No
390593,8754.27,9192.2,0.052,Facebook,Video,No
735172,2653.91,5239.38,0.086,Facebook,Post,Yes
492830,3334.42,4214.3,0.016,YouTube,Story,No
828679,8476.06,13447.94,0.178,Twitter,Video,Yes
98852,5397.69,12487.11,0.023,Facebook,Reel,No
221971,4429.74,5972.54,0.18,Facebook,Post,Yes
103828,621.29,1514.55,0.041,Twitter,Video,No
685687,6214.43,4996.71,0.166,Facebook,Reel,No
233601,9473.74,13336.74,0.061,Twitter,Story,No
51612,1986.7,4263.59,0.12,Twitter,Story,Yes
284007,5804.91,14530.28,0.043,Facebook,Image,No
901959,1732.08,1131.23,0.052,YouTube,Video,No
804446,5314.92,15723.75,0.169,TikTok,Video,Yes
848374,1821.53,2799.77,0.108,YouTube,Image,Yes
180689,8916.88,8796.41,0.177,Facebook,Reel,No
867183,466.81,1345.13,0.095,YouTube,Post,Yes
965918,9615.07,21552.33,0.183,YouTube,Video,Yes
618075,620.49,591.5,0.053,Facebook,Post,No
22253,6350.64,16060.01,0.078,Instagram,Image,Yes
467995,5973.05,3649.38,0.124,Twitter,Image,No
197733,9997.44,7880.3,0.051,Facebook,Image,No
923588,8684.09,18126.18,0.073,Twitter,Story,Yes
387858,1861.01,4549.66,0.08,Twitter,Image,Yes
120176,4110.57,8878.79,0.061,YouTube,Reel,No
348860,975.53,2630.48,0.199,Twitter,Image,Yes
716080,2026.02,1720.99,0.035,Instagram,Video,No
613181,9311.73,24268.48,0.097,Twitter,Post,Yes
359690,9519.28,13673.28,0.134,Facebook,Post,Yes
656348,8597.26,4845.25,0.139,TikTok,Video,No
891324,7477.89,5062.6,0.185,Facebook,Post,No
542357,510.84,1102.18,0.122,TikTok,Reel,Yes
998082,5168.98,9822.42,0.124,Facebook,Post,Yes
188921,360.35,817.13,0.178,Facebook,Post,Yes
452978,8959.21,22352.69,0.015,YouTube,Story,No
796722,8339.39,6393.24,0.066,Instagram,Story,No
271856,1374.6,855.99,0.189,Twitter,Image,No
693558,1840.26,1824.76,0.036,Facebook,Video,No
557659,1848.77,4824.31,0.02,Instagram,Reel,No
943324,5977.51,14509.14,0.016,Instagram,Video,No
187994,7339.09,9184.21,0.197,TikTok,Reel,Yes
832257,7106.26,8460.17,0.094,Twitter,Story,No
408137,7873.9,12014.53,0.139,Twitter,Story,Yes
886296,8522.71,18091.48,0.148,Twitter,Image,Yes
431179,3254.88,9453.42,0.17,Facebook,Story,Yes
826169,7719.2,8275.62,0.038,Facebook,Video,No
994666,2930.61,5644.3,0.072,Instagram,Video,Yes
298016,8808.84,6884.83,0.082,Twitter,Post,No
92328,8797.32,24182.63,0.169,Facebook,Video,Yes
616645,6075.5,15327.93,0.116,YouTube,Post,Yes
646976,4091.98,6061.33,0.097,Facebook,Post,Yes
